Angle	Frequency	RCS	EsX.real	EsX.imag	EsY.real	EsY.imag	EsZ.real	EsZ.imag	JX.real	JX.imag	JY.real	JY.imag	JZ.real	JZ.imag

0.00	5.0000	-12.822520	-2.231020e-02	6.047264e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	5.0500	-25.377531	1.399916e-02	-5.892193e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	5.1000	-10.318398	-6.582145e-04	-8.599287e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	5.1500	-5.060503	-6.695645e-02	-1.425949e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	5.2000	-2.320776	-1.594726e-01	-1.456144e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	5.2500	-0.931421	-2.374926e-01	-8.839659e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	5.3000	-0.560445	-2.643678e-01	7.272651e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	5.3500	-1.153670	-2.256554e-01	1.004626e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	5.4000	-2.850614	-1.366530e-01	1.503493e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	5.4500	-6.067312	-3.522982e-02	1.357954e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	5.5000	-11.524779	3.660639e-02	6.528073e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	5.5500	-13.443036	5.310113e-02	-2.796062e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	5.6000	-8.625560	1.668587e-02	-1.031594e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	5.6500	-6.081698	-4.467693e-02	-1.327419e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	5.7000	-5.557705	-9.333705e-02	-1.158453e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	5.7500	-6.815524	-1.027064e-01	-7.757681e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	5.8000	-9.901785	-7.199688e-02	-5.437104e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	5.8500	-11.171532	-2.706326e-02	-7.310163e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	5.9000	-6.391280	-6.669761e-03	-1.349900e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	5.9500	-2.280504	-4.116345e-02	-2.130143e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	6.0000	0.444032	-1.346756e-01	-2.645876e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	6.0500	2.196335	-2.603753e-01	-2.532963e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	6.1000	3.208681	-3.717092e-01	-1.685996e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	6.1500	3.572598	-4.243276e-01	-3.318073e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	6.2000	3.283599	-3.977563e-01	1.062178e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	6.2500	2.250225	-3.057868e-01	2.002407e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	6.3000	0.264767	-1.901338e-01	2.200659e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	6.3500	-3.075676	-1.003600e-01	1.706521e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	6.4000	-8.021927	-7.006625e-02	8.740357e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

